grdi_tercile,facility_type,n_facilities,compound_share_weighted,ci_low,ci_high
low,health,144254,0.1691114284525905,0.16718582913228658,0.17105465096096323
low,school,62808,0.18088460068781048,0.1778937624728729,0.18391447338053982
middle,health,115476,0.20494301846271087,0.20262462189747477,0.20728104600222907
middle,school,90552,0.1901228023677003,0.1875801280830747,0.1926917681476373
high,health,127862,0.3426506702538675,0.3400540198966441,0.3452567754143063
high,school,78123,0.33232210744595064,0.32902726240240604,0.33563344237642384
