city,facility_type,n,median_source_confidence
Accra,health,650,0.7490911960601807
Accra,school,1093,0.7133480787277222
Bangkok,health,17751,0.8200000000000001
Bangkok,school,8528,0.8278850793838501
Bogota,health,6016,0.7355205893516541
Bogota,school,4156,0.7703359305858613
Buenos Aires,health,8455,0.8040960311889649
Buenos Aires,school,7461,0.7873075485229493
Cairo,health,13119,0.7168225526809693
Cairo,school,4793,0.6766147494316102
Delhi,health,19986,0.785429048538208
Delhi,school,14319,0.7466581344604493
Dhaka,health,4485,0.7704214930534363
Dhaka,school,4469,0.7886815547943116
Ho Chi Minh City,health,9935,0.6646498918533326
Ho Chi Minh City,school,10476,0.8219907462596894
Houston,health,18210,0.8200000000000001
Houston,school,5477,1.0
Istanbul,health,17477,0.8200000000000001
Istanbul,school,12292,0.9445346772670746
Jakarta,health,11275,0.6871579170227051
Jakarta,school,17134,0.698375153541565
Johannesburg,health,4529,0.7729704856872559
Johannesburg,school,9580,0.4
Karachi,health,1769,0.8344070196151734
Karachi,school,2572,0.8271134674549103
Kolkata,health,8410,0.7249211549758912
Kolkata,school,7065,0.7027234315872193
Lagos,health,1303,0.7169532060623169
Lagos,school,3101,0.7322845339775086
Lima,health,11872,0.6846074342727662
Lima,school,9155,0.7333993196487427
London,health,16129,0.8200000000000001
London,school,12093,0.9123071050643922
Los Angeles,health,24749,0.8200000000000001
Los Angeles,school,7249,0.9714354819059372
Madrid,health,8573,0.8200000000000001
Madrid,school,4763,0.9076788902282715
Manila,health,18365,0.7965993165969849
Manila,school,10302,0.8200070834159852
Mexico City,health,25048,0.7530239701271058
Mexico City,school,14632,0.7293183982372284
Miami,health,9433,0.8200000000000001
Miami,school,2377,0.9785460710525513
Nairobi,health,1716,0.7707501828670502
Nairobi,school,1757,0.7940187931060791
New York City,health,36487,0.8200000000000001
New York City,school,11968,0.9664155423641205
Paris,health,8426,0.8200000000000001
Paris,school,7355,0.8485847592353821
Rome,health,6181,0.8447663068771363
Rome,school,2986,0.9322489380836487
Rotterdam,health,2882,0.8396528542041779
Rotterdam,school,2339,0.9367539167404175
Sao Paulo,health,36921,0.8331984162330628
Sao Paulo,school,17716,0.9234316229820252
Shanghai,health,341,0.8200000000000001
Shanghai,school,305,0.8162837505340577
Tokyo,health,38519,0.8200000000000001
Tokyo,school,15256,0.8736631155014039
