city,country_iso3,income_group,area_id,heat_sensitivity_source,humid_heat_proxy_method,facility_type,n_facilities,tmax_abs35_share_20d,tmax_local_p90_share_20d,tmax_local_p95_share_20d,apparent_abs35_share_20d,apparent_local_p90_share_20d,apparent_local_p95_share_20d,mean_tmax_baseline_p95_c,mean_apparent_baseline_p95_c,mean_apparent_minus_tmax_abs35_days
Dhaka,BGD,Lower-middle income,dhaka,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,health,4485,1.0,1.0,0.2749163879598662,1.0,1.0,0.7025641025641025,37.285546042363436,53.79834454799493,208.17904124860647
Dhaka,BGD,Lower-middle income,dhaka,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,school,4469,1.0,1.0,0.2949205638845379,1.0,1.0,0.7111210561646901,37.281539941821435,53.78872835492878,208.13962855224884
Lagos,NGA,Lower-middle income,lagos,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,health,1303,0.0,1.0,0.0030698388334612432,1.0,1.0,0.0030698388334612432,30.785092095165002,41.5947545734868,222.52494244052187
Lagos,NGA,Lower-middle income,lagos,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,school,3101,0.0,1.0,0.0064495324089003546,1.0,1.0,0.0064495324089003546,30.794194775878747,41.619892755995636,223.03257013866494
Nairobi,KEN,Lower-middle income,nairobi,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,health,1716,0.0,1.0,0.0,0.0,1.0,0.0,29.94475,32.21202907966295,1.75
Nairobi,KEN,Lower-middle income,nairobi,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,school,1757,0.0,1.0,0.0,0.0,1.0,0.0,29.998924871940808,32.296827439560886,2.0449630051223675
Mexico City,MEX,Upper-middle income,mexico_city,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,health,25048,0.0,1.0,0.0,0.0,1.0,0.0,29.363726245608433,29.30487088206177,0.45352922389013095
Mexico City,MEX,Upper-middle income,mexico_city,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,school,14632,0.0,1.0,0.0,0.0,1.0,0.0,29.387712752870424,29.340661677054417,0.455098414434117
Jakarta,IDN,Upper-middle income,jakarta,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,health,11275,0.0,0.0,0.0,1.0,0.7444789356984479,0.0,31.50969702882483,41.95644823482803,266.7254988913526
Jakarta,IDN,Upper-middle income,jakarta,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,school,17134,0.0,0.0,0.0,1.0,0.671063382747753,0.0,31.49237095832847,41.91884908694507,259.7510213610365
Sao Paulo,BRA,Upper-middle income,sao_paulo,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,health,36921,0.0,1.0,1.0,1.0,1.0,1.0,33.29961257820752,42.624233121449144,106.49215893394003
Sao Paulo,BRA,Upper-middle income,sao_paulo,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,school,17716,0.0,1.0,1.0,1.0,1.0,1.0,33.181409629713244,42.505385619921746,105.86746443892527
Rotterdam,NLD,High income,rotterdam,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,health,2882,0.0,1.0,0.0,0.0,1.0,0.0,24.899491672449685,24.899491672449685,1.5142262317834836
Rotterdam,NLD,High income,rotterdam,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,school,2339,0.0,1.0,0.0,0.0,1.0,0.0,24.91980846515605,24.91980846515605,1.5378366823428815
