city,facility_type,n_records,median_source_confidence,high_confidence_share_ge_0p75,core_category_share,osm_core_count,overture_count_from_osm_audit,osm_to_overture_core_ratio,nn_distance_m_median,share_nn_within_20m,share_nn_within_50m,share_nn_within_100m
Lagos,health,1303,0.7169532060623169,0.4474290099769762,0.6738296239447429,,1303.0,,180.05048818009044,0.10974673829623945,0.19339984650805833,0.3261703760552571
Lagos,school,3101,0.7322845339775086,0.46243147371815546,1.0,,3101.0,,161.15323132870722,0.11157691067397614,0.17897452434698485,0.32505643340857787
Lima,health,11872,0.6846074342727662,0.4155154986522911,0.49199797843665766,,11872.0,,35.397871570587625,0.3680087601078167,0.5952661725067385,0.7855458221024259
Lima,school,9155,0.7333993196487427,0.47766247951938834,1.0,,9155.0,,89.88290531783736,0.11796832332058985,0.27799016930639,0.5533588203167668
London,health,16129,0.8200000000000001,0.8345216690433381,0.6108252216504433,,16129.0,,26.60430390310424,0.44379688759377517,0.6320292640585281,0.7666935333870668
London,school,12093,0.9123071050643922,0.8122054080873232,1.0,,12093.0,,98.425176688027,0.1366906474820144,0.29926403704622506,0.5058298189034979
Los Angeles,health,24749,0.8200000000000001,0.8416905733564992,0.7188573275687906,,24749.0,,5.93844975668778,0.7042304739585438,0.8210432744757364,0.8952280900238393
Los Angeles,school,7249,0.9714354819059372,0.768243895709753,1.0,,7249.0,,120.79076487436738,0.14829631673334254,0.2873499793074907,0.4472341012553456
Madrid,health,8573,0.8200000000000001,0.741630701038143,0.5309693222909133,,8573.0,,36.02064407277638,0.35086900734865273,0.5983902951125627,0.8104514172401727
Madrid,school,4763,0.9076788902282715,0.7279025824060467,1.0,,4763.0,,86.74720498339742,0.14591643921897962,0.31303800125971026,0.5656099097207642
Manila,health,18365,0.7965993165969849,0.5662401306833651,0.48303838823849715,,18365.0,,33.83396674106986,0.34549414647427173,0.6168799346583175,0.8187857337326436
Manila,school,10302,0.8200070834159852,0.6151232770335857,1.0,,10302.0,,87.31674006361791,0.1353135313531353,0.30906620073772084,0.5597942147155892
Mexico City,health,25048,0.7530239701271058,0.5034334078569147,0.5176461194506548,,25048.0,,34.75272218204461,0.3979559246247205,0.5832801022037688,0.7671670392845736
Mexico City,school,14632,0.7293183982372284,0.47020229633679606,1.0,,14632.0,,89.58461187271023,0.12404319300164024,0.2884089666484418,0.5521459814106069
Miami,health,9433,0.8200000000000001,0.8283684935863458,0.7557510866108343,,9433.0,,7.206973113364786,0.6849358634580727,0.8187215095939786,0.8966394572246369
Miami,school,2377,0.9785460710525513,0.7614640302902819,1.0,,2377.0,,137.86940191474596,0.1489272191838452,0.27513672696676483,0.421960454354228
Nairobi,health,1716,0.7707501828670502,0.527972027972028,0.6101398601398601,530.0,1716.0,0.3088578088578088,80.92226239298861,0.20687645687645687,0.391025641025641,0.5641025641025641
Nairobi,school,1757,0.7940187931060791,0.591348890153671,1.0,2678.0,1757.0,1.5241889584519066,182.51243157007423,0.13033579965850883,0.20432555492316448,0.3130335799658509
New York City,health,36487,0.8200000000000001,0.8364348946200016,0.717872118836846,,36487.0,,8.350108767628024,0.6823252117192424,0.8241565489078302,0.910927179543399
New York City,school,11968,0.9664155423641205,0.7762366310160428,1.0,,11968.0,,58.53681883030009,0.2838402406417112,0.47067179144385024,0.629177807486631
Paris,health,8426,0.8200000000000001,0.6577260859245193,0.5828388321860907,,8426.0,,60.11866054272844,0.25563731307856635,0.4464751958224543,0.6711369570377403
Paris,school,7355,0.8485847592353821,0.681849082256968,1.0,,7355.0,,95.62758318694077,0.16560163154316793,0.3052345343303875,0.5144799456152277
Rome,health,6181,0.8447663068771363,0.696327455104352,0.5822682413848892,,6181.0,,38.24809461840558,0.35317909723345736,0.5764439411098528,0.7811033813298819
Rome,school,2986,0.9322489380836487,0.7484929671801741,1.0,,2986.0,,108.6417297173315,0.12726054922973878,0.2799732083054253,0.4768921634293369
Rotterdam,health,2882,0.8396528542041779,0.7505204718945176,0.6176266481609993,259.0,2882.0,0.0898681471200555,47.388754098852935,0.33587786259541985,0.5100624566273422,0.6585704371963914
Rotterdam,school,2339,0.9367539167404175,0.7139803334758443,1.0,538.0,2339.0,0.2300128259940145,101.12618962341888,0.19196237708422403,0.351004702864472,0.49722103463018386
Sao Paulo,health,36921,0.8331984162330628,0.6272040302267002,0.5115246065924541,,36921.0,,16.68602519411621,0.5391240757292598,0.7411229381652717,0.8653070068524688
Sao Paulo,school,17716,0.9234316229820252,0.6859336193271619,1.0,,17716.0,,89.15392040799397,0.131011515014676,0.2947053510950553,0.5491081508241138
Shanghai,health,341,0.8200000000000001,0.6392961876832844,0.8299120234604106,,341.0,,309.24461873962593,0.09090909090909091,0.1436950146627566,0.25806451612903225
Shanghai,school,305,0.8162837505340577,0.659016393442623,1.0,,305.0,,545.0385916698275,0.029508196721311476,0.05573770491803279,0.09508196721311475
Tokyo,health,38519,0.8200000000000001,0.8174667047431138,0.508554219995327,,38519.0,,34.78051193379532,0.35535709649783226,0.6094654586048444,0.7934525818427269
Tokyo,school,15256,0.8736631155014039,0.7928028316727844,1.0,,15256.0,,110.4210485417571,0.1352254850550603,0.2800209753539591,0.4649973780807551
