city,facility_type,n_records,median_source_confidence,high_confidence_share_ge_0p75,core_category_share,osm_core_count,overture_count_from_osm_audit,osm_to_overture_core_ratio,nn_distance_m_median,share_nn_within_20m,share_nn_within_50m,share_nn_within_100m
Accra,health,650,0.7490911960601807,0.49846153846153846,0.6353846153846154,,650.0,,256.1060925804782,0.11384615384615385,0.1523076923076923,0.22615384615384615
Accra,school,1093,0.7133480787277222,0.43824336688014637,1.0,,1093.0,,248.65056758078893,0.15827996340347666,0.18755718206770358,0.25709057639524246
Bangkok,health,17751,0.8200000000000001,0.6555687003549096,0.6991718776406963,,17751.0,,28.49275445011442,0.4098360655737705,0.6392315925863332,0.7826601318235592
Bangkok,school,8528,0.8278850793838501,0.6529080675422139,1.0,,8528.0,,83.19005097631117,0.1850375234521576,0.3692542213883677,0.5521810506566605
Bogota,health,6016,0.7355205893516541,0.4852061170212766,0.5056515957446809,,6016.0,,40.875644029764395,0.34574468085106386,0.5492021276595744,0.7471742021276596
Bogota,school,4156,0.7703359305858613,0.5336862367661213,1.0,,4156.0,,108.4880656452811,0.07988450433108758,0.22136669874879691,0.45957651588065446
Buenos Aires,health,8455,0.8040960311889649,0.563571850975754,0.6113542282672975,,8455.0,,49.48502837322296,0.2787699586043761,0.5024246008279125,0.6927261975162625
Buenos Aires,school,7461,0.7873075485229493,0.5641334941696824,1.0,,7461.0,,99.75498851493113,0.14234016887816647,0.29392842782468837,0.5018094089264173
Cairo,health,13119,0.7168225526809693,0.44248799451177684,0.5751200548822318,,13119.0,,37.20949480269615,0.35086515740529006,0.5840384175623142,0.7737632441497065
Cairo,school,4793,0.6766147494316102,0.3678280826204882,1.0,,4793.0,,120.96266523440377,0.0844982265804298,0.20488211975798037,0.4185270185687461
Delhi,health,19986,0.785429048538208,0.5351245872110477,0.6844291003702592,,19986.0,,43.45447619791295,0.3341839287501251,0.5342239567697388,0.7297107975582908
Delhi,school,14319,0.7466581344604493,0.49542565821635587,1.0,,14319.0,,102.26954015885289,0.11418395139325371,0.2548362315804176,0.4910957469097004
Dhaka,health,4485,0.7704214930534363,0.5346711259754738,0.5939799331103679,904.0,4485.0,0.2015607580824972,43.125811222170086,0.30457079152731326,0.5464882943143813,0.7603121516164995
Dhaka,school,4469,0.7886815547943116,0.5842470351309018,1.0,1706.0,4469.0,0.3817408816289998,74.42921050034441,0.1736406354889237,0.3638397851868427,0.6182591183710002
Ho Chi Minh City,health,9935,0.6646498918533326,0.37956718671363865,0.5278309008555612,,9935.0,,48.77884908174042,0.23915450427780574,0.508102667337695,0.7201811776547559
Ho Chi Minh City,school,10476,0.8219907462596894,0.5974608629247804,1.0,,10476.0,,71.01937274068328,0.16494845360824742,0.3757159221076747,0.6342115311187476
Houston,health,18210,0.8200000000000001,0.8669961559582647,0.7194398682042834,621.0,18210.0,0.0341021416803953,10.87851151255901,0.6135090609555189,0.7534870950027458,0.8483250961010433
Houston,school,5477,1.0,0.8192441117400037,1.0,1593.0,5477.0,0.2908526565638123,167.70644204923568,0.12999817418294687,0.2563447142596312,0.37903962023005294
Istanbul,health,17477,0.8200000000000001,0.6534302225782457,0.7283286605252618,,17477.0,,22.24582853246472,0.4732505578760657,0.6894203810722664,0.8325799622360817
Istanbul,school,12292,0.9445346772670746,0.7879921900423039,1.0,,12292.0,,61.36549619364615,0.2079401236576635,0.4346729580214774,0.6567686300032541
Jakarta,health,11275,0.6871579170227051,0.40940133037694015,0.7070509977827051,,11275.0,,77.03818813672962,0.1893569844789357,0.38509977827050995,0.5819068736141907
Jakarta,school,17134,0.698375153541565,0.4099451383214661,1.0,,17134.0,,86.61638456873084,0.13050075872534142,0.32158281778919107,0.5577798529240108
Johannesburg,health,4529,0.7729704856872559,0.5283727092073305,0.6224332082137337,,4529.0,,66.02901913066196,0.27931110620446015,0.4393905939500994,0.5977036873482005
Johannesburg,school,9580,0.4,0.3010438413361169,1.0,,9580.0,,97.72046678043623,0.1906054279749478,0.3221294363256785,0.508141962421712
Karachi,health,1769,0.8344070196151734,0.6676088185415489,0.6953080836630865,,1769.0,,95.93274315109858,0.19050310910118712,0.3261729790842284,0.5121537591859808
Karachi,school,2572,0.8271134674549103,0.6442457231726283,1.0,,2572.0,,128.47629436418026,0.12286158631415241,0.21967340590979784,0.4020217729393468
Kolkata,health,8410,0.7249211549758912,0.47788347205707493,0.5985731272294887,,8410.0,,48.58375606771756,0.30083234244946494,0.5077288941736029,0.7154577883472057
Kolkata,school,7065,0.7027234315872193,0.4101910828025478,1.0,,7065.0,,105.70381018726238,0.11323425336164189,0.259447983014862,0.47685774946921444
