area_id,city,status,error,n_facilities_compared,median_service_pop_5km_worldpop2022,median_service_pop_5km_worldpop2020,median_ratio_2020_to_2022,pearson_corr_facility_service_pop
bangkok,Bangkok,compared,,26279,930682.7041015625,970288.0546875,1.0425551591443516,0.9960026180856683
cairo,Cairo,compared,,17912,1993533.8552246094,1694561.0755615234,0.8500287422360324,0.9983587644772399
delhi,Delhi,compared,,34305,1350900.9227905273,1276203.40234375,0.9447054042331422,0.8022774795425845
dhaka,Dhaka,compared,,8954,3959074.150072528,3802816.642272949,0.960531805700907,0.9976222314078205
houston,Houston,compared,,23687,140932.71777534485,133702.10887145996,0.9486946039356815,0.9972849297022536
istanbul,Istanbul,compared,,29769,1087988.476196289,1025500.2235717773,0.9425653359464095,0.9983518034949495
jakarta,Jakarta,compared,,28409,1184749.8989257812,1225922.3369140625,1.0347520080192558,0.9887768404085877
kolkata,Kolkata,compared,,15475,1735750.6791381836,2044954.883178711,1.178138604672216,0.7305646865765572
lagos,Lagos,compared,,4404,1414742.7390887737,1429833.2114868164,1.0106665840941247,0.992129293447698
lima,Lima,compared,,21027,987179.3274773152,1007005.9140090942,1.0200840779176816,0.9905343666675452
london,London,compared,,28222,531976.5013509989,533663.8603076935,1.00317186746484,0.9992368800275905
los_angeles,Los Angeles,compared,,31998,275575.9510079324,262733.3879789505,0.9533973738201407,0.9975780946702388
madrid,Madrid,compared,,13336,830815.5778846741,881963.0950317383,1.0615630213353606,0.9988608234863322
mexico_city,Mexico City,compared,,39680,918349.5902099609,964833.4915444255,1.0506167823560928,0.9510357581109892
miami,Miami,compared,,11810,214932.12628701006,205081.0404963987,0.9541665270762887,0.9967769297836053
nairobi,Nairobi,compared,,3473,910131.9244260788,919770.1811218262,1.0105899556284932,0.9957048042256216
new_york,New York City,compared,,48455,850295.2853117648,810299.5198755264,0.9529624988787586,0.9988821593276607
paris,Paris,compared,,15781,987963.056394577,1044666.9283905029,1.0573947291135137,0.999329862107109
sao_paulo,Sao Paulo,failed,bra_pop_2020.tif: TIFFReadDirectory:Failed to read directory at offset 45779304,0,,,,
shanghai,Shanghai,compared,,646,2161317.0118408203,2528677.3188171387,1.1699705804209781,0.979925749017957
tokyo,Tokyo,compared,,53775,904465.8969726562,929845.5250091553,1.0280603482358455,0.9961928778519984
