boundary_scope,n_cities,median_retention_share,spearman_escri_rank_vs_bbox,spearman_compound_rank_vs_bbox,median_abs_compound_shift,max_abs_compound_shift,median_abs_escri_shift,max_abs_escri_shift
bbox_inner_80,30,0.918180061317883,0.9964404894327029,0.9932099765328167,0.0006786773566627054,0.04061889901383986,0.0014361355735887024,0.005479210821195207
bbox_inner_90,30,0.960778139794888,0.9977753058954394,0.9995484307970198,0.00039601554965507796,0.011038775400635581,0.0005268067910045512,0.0025413855094625626
bbox_main,30,1.0,1.0,1.0,0.0,0.0,0.0,0.0
facility_quantile_95,30,0.9067051142971769,0.9955506117908787,0.9945689867629645,0.0008102079475593767,0.03559568111930944,0.0016112327922382583,0.009868207027698694
osm_nominatim_polygon,30,0.6023685138231032,0.9876923076923078,0.984913266976514,0.002681478643937943,0.3305980002638302,0.004531637559163831,0.06842304331218932
