city,n_facilities,compound_share,mean_escri,median_service_pop_5km,above_random_groups,below_random_groups,large_counterfactual_departures,humid_heat_abs35_share_uplift,jrc_wms_flood_agreement_ge015,source_sensitive,service_node_typology,high_compound,high_service_population,high_escri
Cairo,17912,1.0,0.3260409193144193,1993533.8552246091,0,0,0,0.0,0.9313309513175524,False,area_wide_service_burden,True,True,True
Karachi,4341,0.908776779543884,0.3174727069184527,2650909.755332947,2,0,1,0.08961068878138682,0.9898640866159872,False,facility_overconcentration,True,True,True
Delhi,34305,1.0,0.3007119833405757,1350900.922790527,0,0,0,0.0,0.9614050429966478,False,area_wide_service_burden,True,True,True
Shanghai,646,0.9922600619195048,0.2527025872282622,2161317.0118408203,2,0,2,1.0,0.8947368421052632,True,facility_overconcentration,True,True,True
Dhaka,8954,1.0,0.2458674051765187,3959074.150072528,0,0,0,0.0,0.9256198347107438,False,area_wide_service_burden,True,True,True
Bangkok,26279,0.9590547585524564,0.1960819357766798,930682.7041015624,1,0,0,0.0,0.8886182883671373,False,facility_overconcentration,True,True,True
Madrid,13336,1.0,0.1899907008307525,830815.5778846741,0,0,0,0.0,0.9994001199760048,False,lower_priority_or_no_detected_divergence,True,False,True
Rome,9167,0.8323333696956474,0.1590201589444965,501805.6894943714,2,0,1,0.0,0.971310134176939,False,facility_overconcentration,True,False,True
Manila,28667,0.1751491261729514,0.1529911078340897,1871446.970703125,0,0,0,0.9614888198974431,0.9529424076464228,True,area_wide_service_burden,True,True,True
Los Angeles,31998,0.2945184074004625,0.1342266622847194,275575.9510079324,0,2,1,0.0,0.971466966685418,False,facility_underconcentration,True,False,True
Mexico City,39680,0.1002016129032258,0.1311404634285178,918349.5902099608,0,2,1,0.0,0.9890625,False,facility_underconcentration,True,False,True
Lima,21027,0.0093689066438388,0.1282372503832084,987179.3274773152,0,2,0,0.0,0.9941503780853188,False,facility_underconcentration,False,True,True
Johannesburg,14109,0.0,0.1232945321457288,265090.8632583618,0,0,0,0.0,1.0,False,lower_priority_or_no_detected_divergence,False,False,True
Lagos,4404,0.060172570390554,0.1104785454552296,1414742.7390887735,0,2,0,1.0,0.9720708446866484,True,facility_underconcentration,True,True,True
Tokyo,53775,0.0351464435146443,0.1086934034110772,904465.8969726562,0,2,0,0.9459600185960019,0.971529521152952,True,facility_underconcentration,False,False,True
Istanbul,29769,0.0036951190836104,0.1079110031059133,1087988.476196289,0,2,0,0.984110987940475,0.9954314891329908,True,facility_underconcentration,False,True,False
Kolkata,15475,0.2782552504038772,0.1070758816094282,1735750.6791381836,0,2,1,0.0,0.9395153473344104,False,facility_underconcentration,True,True,False
Ho Chi Minh City,20411,0.1747097153495664,0.0990321000458997,1842977.3678894043,0,2,1,0.0,0.9671255695458332,False,facility_underconcentration,True,True,False
Houston,23687,0.0979018026765736,0.0926157032173946,140932.71777534485,1,1,0,0.12783383290412462,0.7045214674716089,True,mixed_divergence,True,False,False
Jakarta,28409,0.0377345207504664,0.0842434614235208,1184749.8989257812,0,2,2,1.0,0.9885247632792424,True,facility_underconcentration,False,True,False
London,28222,0.0574374601374814,0.083951220735616,531976.5013509989,0,2,0,0.0,0.980121890723549,False,facility_underconcentration,False,False,False
Sao Paulo,54637,0.0,0.0836103955617908,929612.7244262696,0,0,0,1.0,0.9943993996742134,True,source_sensitive_screening,False,False,False
New York City,48455,0.0251573625012898,0.0677367731620493,850295.2853117648,0,2,0,0.28240635641316686,0.9700546899184812,True,facility_underconcentration,False,False,False
Rotterdam,5221,0.0026814786439379,0.0597612835194834,198450.2980518341,0,0,0,0.0,0.9632254357402796,False,lower_priority_or_no_detected_divergence,False,False,False
Miami,11810,0.0297205757832345,0.0526102845420129,214932.1262870101,1,1,0,1.0,0.9526672311600338,True,mixed_divergence,False,False,False
Paris,15781,0.0,0.0520454245858989,987963.056394577,0,0,0,0.0,0.981876940624802,False,lower_priority_or_no_detected_divergence,False,True,False
Buenos Aires,15916,0.0,0.027547789278451,908059.4130462408,0,0,0,0.06848454385524008,0.9866172405126916,False,lower_priority_or_no_detected_divergence,False,False,False
Nairobi,3473,0.0,0.0267800781921153,910131.9244260788,0,0,0,0.0,1.0,False,lower_priority_or_no_detected_divergence,False,False,False
Accra,1743,0.0,0.0095191640053012,675230.6527099609,0,0,0,1.0,0.9988525530694206,True,source_sensitive_screening,False,False,False
Bogota,10172,0.0,0.0018346387056425,1380759.7459935346,0,0,0,0.0,0.9966574911521824,False,lower_priority_or_no_detected_divergence,False,True,False
