city,country_iso3,income_group,facility_type,n_facilities,heat_share,flood_share,water_stress_share,compound_share,median_service_pop_5km,mean_escri,median_grdi
Accra,GHA,Lower-middle income,health,650,0.0,0.0,0.0,0.0,742719.4674081802,0.008381352476229478,19.63538932800293
Accra,GHA,Lower-middle income,school,1093,0.0,0.007319304666056725,0.0,0.0,638794.2375488281,0.01019581313054973,19.640640258789062
Bangkok,THA,Upper-middle income,health,17751,0.8723452199876063,0.4890992056785533,1.0,0.95622781815109,975839.3912353516,0.191142385696195,5.982968330383301
Bangkok,THA,Upper-middle income,school,8528,0.8490853658536586,0.6281660412757973,1.0,0.9649390243902439,853513.157043457,0.20636359073431187,5.982968330383301
Bogota,COL,Upper-middle income,health,6016,0.0,0.010804521276595746,0.0,0.0,1400609.3957529068,0.0012274400951223503,11.956443786621094
Bogota,COL,Upper-middle income,school,4156,0.0,0.02045235803657363,0.0,0.0,1347866.7209565402,0.0027135864536911355,11.956443786621094
Buenos Aires,ARG,Upper-middle income,health,8455,0.0,0.11437019515079834,0.0,0.0,989396.4934082031,0.022902050951082255,25.568693161010742
Buenos Aires,ARG,Upper-middle income,school,7461,0.0,0.18147701380511996,0.0,0.0,799786.8562011719,0.03281246124707505,25.75233268737793
Cairo,EGY,Lower-middle income,health,13119,1.0,0.08971720405518713,1.0,1.0,2131097.465789795,0.3307854400545409,33.46064758300781
Cairo,EGY,Lower-middle income,school,4793,1.0,0.11516795326517838,1.0,1.0,1683190.526977539,0.3130546127027657,33.946502685546875
Delhi,IND,Lower-middle income,health,19986,1.0,0.19248473931752227,1.0,1.0,1423231.088142837,0.296032710862625,33.23406982421875
Delhi,IND,Lower-middle income,school,14319,1.0,0.27320343599413366,1.0,1.0,1235753.866104126,0.3072431614776191,31.65951919555664
Dhaka,BGD,Lower-middle income,health,4485,1.0,0.20735785953177258,1.0,1.0,4158707.554626465,0.23224768936515372,13.802316665649414
Dhaka,BGD,Lower-middle income,school,4469,1.0,0.30230476616692775,1.0,1.0,3651150.860824585,0.25953588255713456,14.172784805297852
Ho Chi Minh City,VNM,Lower-middle income,health,9935,0.8525415198792149,0.1634625062908908,0.010166079516859588,0.1444388525415199,2152768.5355709805,0.08926494520356833,9.44308090209961
Ho Chi Minh City,VNM,Lower-middle income,school,10476,0.8243604429171439,0.22957235586101565,0.012791141657121039,0.20341733486063382,1523396.3372192383,0.10829486096214286,9.444461822509766
Houston,USA,High income,health,18210,0.5190005491488193,0.19890170236133992,0.0,0.10521691378363536,145097.67395950877,0.09437066097567784,21.014888763427734
