city,country_iso3,income_group,facility_type,n_facilities,heat_share,flood_share,water_stress_share,compound_share,median_service_pop_5km,mean_escri,median_grdi,dominant_pathway_screen,pathway_screening_rule
Accra,GHA,Lower-middle income,health,650,0.0,0.0,0.0,0.0,742719.4674081802,0.0083813524762294,19.63538932800293,threshold_limited,heat>=0.5; flood>=0.15; water>=0.5
Accra,GHA,Lower-middle income,school,1093,0.0,0.0073193046660567,0.0,0.0,638794.2375488281,0.0101958131305497,19.640640258789062,threshold_limited,heat>=0.5; flood>=0.15; water>=0.5
Bangkok,THA,Upper-middle income,health,17751,0.8723452199876063,0.4890992056785533,1.0,0.95622781815109,975839.3912353516,0.191142385696195,5.982968330383301,heat+flood+water,heat>=0.5; flood>=0.15; water>=0.5
Bangkok,THA,Upper-middle income,school,8528,0.8490853658536586,0.6281660412757973,1.0,0.964939024390244,853513.157043457,0.2063635907343118,5.982968330383301,heat+flood+water,heat>=0.5; flood>=0.15; water>=0.5
Bogota,COL,Upper-middle income,health,6016,0.0,0.0108045212765957,0.0,0.0,1400609.3957529068,0.0012274400951223,11.956443786621094,threshold_limited,heat>=0.5; flood>=0.15; water>=0.5
Bogota,COL,Upper-middle income,school,4156,0.0,0.0204523580365736,0.0,0.0,1347866.7209565402,0.0027135864536911,11.956443786621094,threshold_limited,heat>=0.5; flood>=0.15; water>=0.5
Buenos Aires,ARG,Upper-middle income,health,8455,0.0,0.1143701951507983,0.0,0.0,989396.4934082032,0.0229020509510822,25.568693161010746,threshold_limited,heat>=0.5; flood>=0.15; water>=0.5
Buenos Aires,ARG,Upper-middle income,school,7461,0.0,0.1814770138051199,0.0,0.0,799786.8562011719,0.032812461247075,25.75233268737793,flood,heat>=0.5; flood>=0.15; water>=0.5
Cairo,EGY,Lower-middle income,health,13119,1.0,0.0897172040551871,1.0,1.0,2131097.465789795,0.3307854400545409,33.46064758300781,heat+water,heat>=0.5; flood>=0.15; water>=0.5
Cairo,EGY,Lower-middle income,school,4793,1.0,0.1151679532651783,1.0,1.0,1683190.526977539,0.3130546127027657,33.946502685546875,heat+water,heat>=0.5; flood>=0.15; water>=0.5
Delhi,IND,Lower-middle income,health,19986,1.0,0.1924847393175222,1.0,1.0,1423231.088142837,0.296032710862625,33.23406982421875,heat+flood+water,heat>=0.5; flood>=0.15; water>=0.5
Delhi,IND,Lower-middle income,school,14319,1.0,0.2732034359941336,1.0,1.0,1235753.866104126,0.3072431614776191,31.65951919555664,heat+flood+water,heat>=0.5; flood>=0.15; water>=0.5
Dhaka,BGD,Lower-middle income,health,4485,1.0,0.2073578595317725,1.0,1.0,4158707.554626465,0.2322476893651537,13.802316665649414,heat+flood+water,heat>=0.5; flood>=0.15; water>=0.5
Dhaka,BGD,Lower-middle income,school,4469,1.0,0.3023047661669277,1.0,1.0,3651150.860824585,0.2595358825571345,14.172784805297852,heat+flood+water,heat>=0.5; flood>=0.15; water>=0.5
Ho Chi Minh City,VNM,Lower-middle income,health,9935,0.8525415198792149,0.1634625062908908,0.0101660795168595,0.1444388525415199,2152768.5355709805,0.0892649452035683,9.44308090209961,heat+flood,heat>=0.5; flood>=0.15; water>=0.5
Ho Chi Minh City,VNM,Lower-middle income,school,10476,0.8243604429171439,0.2295723558610156,0.012791141657121,0.2034173348606338,1523396.3372192385,0.1082948609621428,9.444461822509766,heat+flood,heat>=0.5; flood>=0.15; water>=0.5
Houston,USA,High income,health,18210,0.5190005491488193,0.1989017023613399,0.0,0.1052169137836353,145097.67395950877,0.0943706609756778,21.01488876342773,heat+flood,heat>=0.5; flood>=0.15; water>=0.5
Houston,USA,High income,school,5477,0.5705678291035238,0.1163045462844623,0.0,0.0735804272411904,130001.28218865396,0.0867807971048627,21.01488876342773,heat,heat>=0.5; flood>=0.15; water>=0.5
Istanbul,TUR,Upper-middle income,health,17477,0.0,0.0042341362934142,0.9656691651885336,0.0032614293070893,1138381.0086669922,0.1062741823112234,7.749722957611084,water,heat>=0.5; flood>=0.15; water>=0.5
Istanbul,TUR,Upper-middle income,school,12292,0.0,0.0053693459160429,0.929873088187439,0.0043117474780344,992272.1119823091,0.110238266124852,8.923453330993652,water,heat>=0.5; flood>=0.15; water>=0.5
Jakarta,IDN,Upper-middle income,health,11275,0.0,0.0312195121951219,1.0,0.0312195121951219,1223173.6655273438,0.0821483632083725,11.140101432800291,water,heat>=0.5; flood>=0.15; water>=0.5
Jakarta,IDN,Upper-middle income,school,17134,0.0,0.0420217112174623,0.999941636512198,0.0420217112174623,1165085.9633789062,0.0856221372946424,11.140101432800291,water,heat>=0.5; flood>=0.15; water>=0.5
Johannesburg,ZAF,,health,4529,0.0,0.0,1.0,0.0,226803.1509933472,0.1421516580161126,50.08112335205078,water,heat>=0.5; flood>=0.15; water>=0.5
Johannesburg,ZAF,,school,9580,0.0,0.0,1.0,0.0,302792.1460197754,0.1143797176293439,48.777042388916016,water,heat>=0.5; flood>=0.15; water>=0.5
Karachi,PAK,Lower-middle income,health,1769,0.8654607122668174,0.0553985302430751,0.9773883550028264,0.8908988128886377,2674460.079498291,0.3130073925935246,25.90498924255371,heat+water,heat>=0.5; flood>=0.15; water>=0.5
Karachi,PAK,Lower-middle income,school,2572,0.9183514774494556,0.041213063763608,0.9626749611197511,0.9210730948678072,2572219.4436216247,0.3205439126108314,25.90498924255371,heat+water,heat>=0.5; flood>=0.15; water>=0.5
Kolkata,IND,Lower-middle income,health,8410,0.9330558858501784,0.2923900118906064,0.0,0.2914387633769322,1815252.1700439453,0.1091024007382977,15.391413688659668,heat+flood,heat>=0.5; flood>=0.15; water>=0.5
Kolkata,IND,Lower-middle income,school,7065,0.90828025477707,0.2655343241330502,0.0,0.2625619249823071,1623992.035949707,0.1046635637221257,15.391477584838867,heat+flood,heat>=0.5; flood>=0.15; water>=0.5
Lagos,NGA,Lower-middle income,health,1303,0.0030698388334612,0.0782808902532617,0.7313891020721413,0.0675364543361473,1446503.6458587646,0.1185037074268022,38.448123931884766,water,heat>=0.5; flood>=0.15; water>=0.5
