city,facility_type,n_facilities,heat_share,flood_share,water_share,compound_share,heat_days_threshold,water_cat_threshold,subset
Accra,health,650,0.6538461538461539,0.0,0.0,0.0,1,3,all_classes
Accra,school,1093,0.7346752058554438,0.007319304666056725,0.0,0.0,1,3,all_classes
Bangkok,health,17751,0.9851275984451581,0.4890992056785533,1.0,0.9996056560193792,1,3,all_classes
Bangkok,school,8528,0.9807692307692307,0.6281660412757973,1.0,0.999765478424015,1,3,all_classes
Bogota,health,6016,0.0,0.010804521276595746,0.0,0.0,1,3,all_classes
Bogota,school,4156,0.0,0.02045235803657363,0.0,0.0,1,3,all_classes
Buenos Aires,health,8455,1.0,0.11437019515079834,0.0,0.11437019515079834,1,3,all_classes
Buenos Aires,school,7461,1.0,0.18147701380511996,0.0,0.18147701380511996,1,3,all_classes
Cairo,health,13119,1.0,0.08971720405518713,1.0,1.0,1,3,all_classes
Cairo,school,4793,1.0,0.11516795326517838,1.0,1.0,1,3,all_classes
Delhi,health,19986,1.0,0.19248473931752227,1.0,1.0,1,3,all_classes
Delhi,school,14319,1.0,0.27320343599413366,1.0,1.0,1,3,all_classes
Dhaka,health,4485,1.0,0.20735785953177258,1.0,1.0,1,3,all_classes
Dhaka,school,4469,1.0,0.30230476616692775,1.0,1.0,1,3,all_classes
Ho Chi Minh City,health,9935,0.9991947659788626,0.1634625062908908,0.010166079516859588,0.16406643180674382,1,3,all_classes
Ho Chi Minh City,school,10476,0.9992363497518136,0.22957235586101565,0.012791141657121039,0.2301450935471554,1,3,all_classes
Houston,health,18210,1.0,0.19890170236133992,0.0,0.19890170236133992,1,3,all_classes
Houston,school,5477,1.0,0.1163045462844623,0.0,0.1163045462844623,1,3,all_classes
Istanbul,health,17477,0.9995994735938663,0.004234136293414201,0.9656691651885335,0.966412999942782,1,3,all_classes
Istanbul,school,12292,0.9986169866579889,0.005369345916042954,0.929873088187439,0.9302798568174422,1,3,all_classes
Jakarta,health,11275,0.864390243902439,0.03121951219512195,1.0,0.8832815964523282,1,3,all_classes
Jakarta,school,17134,0.8296369791058714,0.04202171121746236,0.9999416365121979,0.851523287031633,1,3,all_classes
Johannesburg,health,4529,0.0,0.0,1.0,0.0,1,3,all_classes
Johannesburg,school,9580,0.0,0.0,1.0,0.0,1,3,all_classes
Karachi,health,1769,0.8745053702656869,0.055398530243075186,0.9773883550028265,0.893159977388355,1,3,all_classes
Karachi,school,2572,0.9350699844479005,0.04121306376360809,0.9626749611197511,0.9284603421461898,1,3,all_classes
Kolkata,health,8410,1.0,0.2923900118906064,0.0,0.2923900118906064,1,3,all_classes
Kolkata,school,7065,1.0,0.2655343241330502,0.0,0.2655343241330502,1,3,all_classes
Lagos,health,1303,0.6876438986953185,0.07828089025326171,0.7313891020721413,0.5241749808135073,1,3,all_classes
Lagos,school,3101,0.7520154788777813,0.0780393421476943,0.6027088036117382,0.4421154466301193,1,3,all_classes
Lima,health,11872,0.0,0.006485849056603774,0.9999157681940701,0.006485849056603774,1,3,all_classes
Lima,school,9155,0.0,0.013107591480065538,1.0,0.013107591480065538,1,3,all_classes
London,health,16129,0.0,0.05015810031620063,0.991009982019964,0.05003410006820014,1,3,all_classes
London,school,12093,0.0,0.06755974530720252,0.987678822459274,0.06731166790705367,1,3,all_classes
Los Angeles,health,24749,0.6000242434037739,0.06416420865489515,1.0,0.6146915026869773,1,3,all_classes
Los Angeles,school,7249,0.718581873361843,0.11187750034487516,0.9998620499379225,0.7365153814319216,1,3,all_classes
Madrid,health,8573,1.0,0.0009331622535868425,1.0,1.0,1,3,all_classes
Madrid,school,4763,1.0,0.0018895653999580096,1.0,1.0,1,3,all_classes
Manila,health,18365,0.8476994282602777,0.211707051456575,0.0,0.17821943915055813,1,3,all_classes
Manila,school,10302,0.8381867598524558,0.2145214521452145,0.0,0.16967579110852263,1,3,all_classes
Mexico City,health,25048,0.0,0.08771159374001916,1.0,0.08771159374001916,1,3,all_classes
Mexico City,school,14632,0.0,0.12158283214871514,1.0,0.12158283214871514,1,3,all_classes
Miami,health,9433,0.3424149263224849,0.054595568748012295,0.22378882646029896,0.08608078023958443,1,3,all_classes
Miami,school,2377,0.33529659234328985,0.013462347496844763,0.3230963399242743,0.08035338662179217,1,3,all_classes
Nairobi,health,1716,0.0,0.0005827505827505828,0.0,0.0,1,3,all_classes
Nairobi,school,1757,0.0,0.0011383039271485487,0.0,0.0,1,3,all_classes
New York City,health,36487,0.9998903719132842,0.06007619152026749,0.42631622221613175,0.4626031189190671,1,3,all_classes
New York City,school,11968,0.9998328877005348,0.07469919786096256,0.4666610962566845,0.5116978609625669,1,3,all_classes
Paris,health,8426,0.9937099454070734,0.08711132209826727,0.0,0.08687396154759079,1,3,all_classes
Paris,school,7355,0.9917063222297756,0.10237933378653977,0.0,0.10224337185588035,1,3,all_classes
Rome,health,6181,1.0,0.08590842905678693,1.0,1.0,1,3,all_classes
Rome,school,2986,1.0,0.12424648359008707,1.0,1.0,1,3,all_classes
Rotterdam,health,2882,0.6519777931991673,0.48056904927133937,0.0024288688410825814,0.28348369188063843,1,3,all_classes
Rotterdam,school,2339,0.639162035057717,0.5352714835399743,0.002992731936725096,0.30055579307396324,1,3,all_classes
Sao Paulo,health,36921,0.9166598954524525,0.016061320115923188,0.0,0.016034235259066654,1,3,all_classes
Sao Paulo,school,17716,0.8558365319485212,0.021223752540076767,0.0,0.02116730638970422,1,3,all_classes
Shanghai,health,341,1.0,0.5806451612903226,0.9530791788856305,0.9970674486803519,1,3,all_classes
Shanghai,school,305,0.9868852459016394,0.6622950819672131,0.9442622950819672,0.9934426229508196,1,3,all_classes
Tokyo,health,38519,0.9945741062852099,0.14231937485396817,0.0,0.1401905553103663,1,3,all_classes
Tokyo,school,15256,0.9947561615102255,0.1662952281069743,0.0,0.16334556895647614,1,3,all_classes
