city,n_facilities,heat_share,flood_share,water_stress_share,compound_share,median_service_pop_5km,mean_escri,median_grdi,priority_quadrant,compound_median_cut,service_pop_5km_median_cut
Cairo,17912,1.0,0.10244257866018269,1.0,1.0,1907143.996383667,0.3219200263786533,33.703575134277344,high_exposure_high_service_pressure,0.060490146032542276,920643.5586385196
Karachi,4341,0.8919060948581365,0.04830579700334155,0.9700316580612888,0.9059859538782224,2623339.7615599576,0.316775652602178,25.90498924255371,high_exposure_high_service_pressure,0.060490146032542276,920643.5586385196
Delhi,34305,1.0,0.2328440876558279,1.0,1.0,1329492.4771234815,0.301637936170122,32.446794509887695,high_exposure_high_service_pressure,0.060490146032542276,920643.5586385196
Shanghai,646,0.9472044613239748,0.6214701216287679,0.9486707369837988,0.9921494158934667,2083573.5393066406,0.2533391990158258,16.237834453582764,high_exposure_high_service_pressure,0.060490146032542276,920643.5586385196
Dhaka,8954,1.0,0.2548313128493501,1.0,1.0,3904929.207725525,0.24589178596114408,13.987550735473633,high_exposure_high_service_pressure,0.060490146032542276,920643.5586385196
Bangkok,26279,0.8607152929206324,0.5586326234771753,1.0,0.960583421270667,914676.2741394043,0.1987529882152534,5.982968330383301,high_exposure_lower_service_pressure,0.060490146032542276,920643.5586385196
Madrid,13336,1.0,0.0014113638267724,1.0,1.0,811113.8848641813,0.18972970896913716,23.40478515625,high_exposure_lower_service_pressure,0.060490146032542276,920643.5586385196
Rome,9167,0.8145368132772547,0.10507745632343696,1.0,0.8279755452641908,484785.0275170058,0.16022808453262896,21.602161407470703,high_exposure_lower_service_pressure,0.060490146032542276,920643.5586385196
Manila,28667,0.8429430940563667,0.21311425180089477,0.0,0.17394761512954035,1859844.2125475407,0.15366322596020274,13.094593524932861,high_exposure_high_service_pressure,0.060490146032542276,920643.5586385196
Los Angeles,31998,0.21837320083067008,0.0880208544998851,0.9999310249689612,0.3056889989120233,279541.50157116074,0.1372644436003146,7.700053691864014,high_exposure_lower_service_pressure,0.060490146032542276,920643.5586385196
Mexico City,39680,0.0,0.1046472129443671,1.0,0.1046472129443671,912335.5408935547,0.13222870418361954,9.236411094665527,high_exposure_lower_service_pressure,0.060490146032542276,920643.5586385196
Lima,21027,0.0,0.0097967202683346,0.999957884097035,0.0097967202683346,984990.9116210938,0.12861590614777865,11.878894805908203,lower_exposure_high_service_pressure,0.060490146032542276,920643.5586385196
