city,grdi_tercile,facility_type,n_facilities,heat_share,flood_share,water_stress_share,compound_share,median_service_pop_5km,mean_escri,median_grdi
Lima,,health,2,0.0,0.0,0.5,0.0,137440.0565900199,0.029138584434986115,
Lima,,school,7,0.0,0.0,1.0,0.0,35856.5516910553,0.05651284543781991,
London,low,health,13330,0.0,0.05281320330082521,0.9966991747936984,0.05281320330082521,704874.6804199219,0.08152085961503772,3.41451096534729
London,low,school,9153,0.0,0.07341855129465749,0.9958483557303617,0.0730907899049492,586454.4510345459,0.08472397536332651,4.168580532073975
London,middle,health,1851,0.0,0.050783360345759046,0.9724473257698542,0.04970286331712588,350722.1068058014,0.08492105173193065,9.868423461914062
London,middle,school,1707,0.0,0.0773286467486819,0.9806678383128296,0.0773286467486819,377932.7220004183,0.0909803162595564,9.529742240905762
London,high,health,948,0.0,0.011603375527426161,0.9472573839662447,0.011603375527426161,161118.6797785294,0.08763432435832502,23.950607299804688
London,high,school,1231,0.0,0.010560519902518278,0.9366368805848904,0.010560519902518278,142396.09777212143,0.0905261447003973,24.73073959350586
London,,school,2,0.0,0.0,1.0,0.0,104162.16786895288,0.0562281014144473,
Los Angeles,low,health,12122,0.27264477808942417,0.06277841940273882,1.0,0.3346807457515262,299758.98569855094,0.1182638384254169,3.054565668106079
Los Angeles,low,school,3620,0.27154696132596684,0.09392265193370165,1.0,0.36408839779005525,293297.88503563823,0.1255285472070728,3.938369035720825
Los Angeles,middle,health,3321,0.22613670581150255,0.14242697982535382,1.0,0.3679614573923517,303279.24800491333,0.14337492831346757,10.156967163085938
Los Angeles,middle,school,1176,0.19727891156462585,0.17261904761904762,1.0,0.3681972789115646,295421.9697262645,0.15171799361804628,10.036355018615723
Los Angeles,high,health,9202,0.15355357530971528,0.03814388176483373,1.0,0.19169745707454902,245914.2313579172,0.1455868488837724,22.317378997802734
Los Angeles,high,school,2435,0.14127310061601642,0.10965092402464066,1.0,0.2509240246406571,267485.78942554037,0.16456298467697758,23.800142288208008
Los Angeles,,health,104,0.1346153846153846,0.028846153846153848,1.0,0.16346153846153846,252433.0355761234,0.09863450941841409,
Los Angeles,,school,18,0.05555555555555555,0.05555555555555555,0.9444444444444444,0.1111111111111111,267745.2797167484,0.097200665759392,
Madrid,low,health,1751,1.0,0.0,1.0,1.0,330704.70829963684,0.1333529982811297,3.939244270324707
Madrid,low,school,1167,1.0,0.0,1.0,1.0,349648.5345187187,0.13719797995995336,3.8947322368621826
Madrid,middle,health,184,1.0,0.0,1.0,1.0,311857.61391025386,0.14789007435476084,11.672706604003906
Madrid,middle,school,144,1.0,0.0,1.0,1.0,343246.3424654007,0.1519419631292735,13.124116897583008
Madrid,high,health,6638,1.0,0.0012051822838204278,1.0,1.0,1035787.4346618652,0.206940599561693,23.40478515625
Madrid,high,school,3451,1.0,0.002607939727615184,1.0,1.0,947302.8639685512,0.20784618147734557,23.40478515625
Madrid,,school,1,1.0,0.0,1.0,1.0,10910.242667913437,0.06455513466345637,
Manila,low,health,908,1.0,0.14537444933920704,0.0,0.14537444933920704,2209191.1462860107,0.13700706365480234,6.841089725494385
Manila,low,school,330,1.0,0.14242424242424243,0.0,0.14242424242424243,2182327.6997528076,0.13658678236934818,6.841089725494385
Manila,middle,health,15768,0.8385971588026383,0.2134703196347032,0.0,0.1799847792998478,1928688.0436401367,0.14972147588082318,12.780065536499023
Manila,middle,school,8573,0.826315175551149,0.2145106730432754,0.0,0.16960223958940862,1791803.390762329,0.15289384199079273,13.050292015075684
Manila,high,health,1689,0.8507992895204263,0.23090586145648312,0.0,0.17939609236234458,1541277.2807655334,0.1734333277069595,24.757204055786133
Manila,high,school,1397,0.8732999284180386,0.23120973514674303,0.0,0.17680744452397995,1073739.8373908997,0.18016220285988543,24.8082332611084
Manila,,school,2,0.5,0.5,0.0,0.0,591650.4498884678,0.06870466560297941,
Mexico City,low,health,8880,0.0,0.007094594594594595,1.0,0.007094594594594595,983774.7427978516,0.10854416618118576,6.418439865112305
Mexico City,low,school,3559,0.0,0.016577690362461366,1.0,0.016577690362461366,980976.1743164062,0.11028394448643869,6.557247638702393
Mexico City,middle,health,12068,0.0,0.09305601590984422,1.0,0.09305601590984422,887345.8074882291,0.12371927139726226,9.505386352539062
Mexico City,middle,school,7857,0.0,0.11238386152475499,1.0,0.11238386152475499,875796.4440917969,0.12804458031125063,9.779178619384766
Mexico City,high,health,4097,0.0,0.24652184525262388,1.0,0.24652184525262388,717329.9618225098,0.18330261985745508,30.39655303955078
Mexico City,high,school,3215,0.0,0.2603421461897356,1.0,0.2603421461897356,721677.2001419067,0.1856331263521576,31.119739532470703
Mexico City,,health,3,0.0,0.3333333333333333,1.0,0.3333333333333333,156049.43652523268,0.10547221754508436,
