city,country_iso3,income_group,facility_type,n_facilities,heat_share,flood_share_jrc_ge015,flood_share_jrc_gt0,flood_share_jrc_ge05,water_stress_share,compound_share_jrc_ge015,median_service_pop_5km,median_flood_depth_m,max_flood_depth_m
Miami,USA,High income,health,9433,0.0,0.006784692038587936,0.0073147461041026185,0.0062546379730732534,0.22378882646029896,0.000848086504823492,214689.50337316096,1.0,2.3929998874664307
Miami,USA,High income,school,2377,0.0,0.008413967185527976,0.008413967185527976,0.005048380311316786,0.3230963399242743,0.0008413967185527977,215569.0180388894,1.0,2.0940001010894775
Nairobi,KEN,Lower-middle income,health,1716,0.0,0.0005827505827505828,0.0005827505827505828,0.0005827505827505828,0.0,0.0,970385.2364068031,2.503000020980835,2.503000020980835
Nairobi,KEN,Lower-middle income,school,1757,0.0,0.0011383039271485487,0.0011383039271485487,0.0011383039271485487,0.0,0.0,786435.3405514024,1.996000051498413,2.8410000801086426
New York City,USA,High income,health,36487,0.0,0.04048017101981528,0.040918683366678546,0.0333543453832872,0.42631622221613175,0.018609367720009866,859378.1511987615,1.5950000286102295,8.041999816894531
New York City,USA,High income,school,11968,0.0,0.05614973262032086,0.05706885026737968,0.04938168449197861,0.4666610962566845,0.021724598930481284,834284.4910474606,1.7949999570846558,8.564000129699707
Paris,FRA,High income,health,8426,0.0,0.08544979824353192,0.08556847851887016,0.07939710420128175,0.0,0.0,1062523.542602539,2.6040000915527344,11.45199966430664
Paris,FRA,High income,school,7355,0.0,0.09938817131203263,0.09952413324269205,0.09394969408565601,0.0,0.0,899730.6577148438,2.756500005722046,11.621000289916992
Rome,ITA,High income,health,6181,0.8333602976864585,0.08526128458178288,0.0854230707005339,0.07781912311923637,1.0,0.83999352855525,513819.7078335285,3.281000018119812,20.84000015258789
Rome,ITA,High income,school,2986,0.7957133288680509,0.12324179504353651,0.12357669122572003,0.11721366376423309,1.0,0.8144675150703282,455750.3472004831,3.750999927520752,15.951000213623047
Rotterdam,NLD,High income,health,2882,0.0,0.4718945176960444,0.47814018043025674,0.42713393476752254,0.0024288688410825814,0.0024288688410825814,199539.85789704323,1.3289999961853027,2.7980000972747803
Rotterdam,NLD,High income,school,2339,0.0,0.5314236853356135,0.539546814878153,0.48268490808037623,0.002992731936725096,0.002992731936725096,197092.1440730095,1.362500011920929,2.8480000495910645
Sao Paulo,BRA,Upper-middle income,health,36921,0.0,0.015546707835649088,0.01573630183364481,0.014002870994826793,0.0,0.0,934979.125,1.5709999799728394,7.15500020980835
Sao Paulo,BRA,Upper-middle income,school,17716,0.0,0.020941521788214044,0.021449537141566947,0.01964326032964552,0.0,0.0,918242.5612752698,1.7049999833106995,8.204999923706055
Shanghai,CHN,Upper-middle income,health,341,0.9501466275659824,0.4574780058651026,0.4604105571847507,0.40762463343108507,0.9530791788856305,0.9824046920821115,2269692.6665039062,1.8630000352859497,5.229000091552734
Shanghai,CHN,Upper-middle income,school,305,0.9442622950819672,0.5836065573770491,0.5868852459016394,0.5573770491803278,0.9442622950819672,0.9770491803278688,1897454.412109375,2.132999897003174,5.354000091552734
Tokyo,JPN,High income,health,38519,0.5788312261481346,0.12692437498377424,0.12892338845764428,0.11355434980139671,0.0,0.031516913730886054,904022.6329803467,1.6360000371932983,9.46399974822998
Tokyo,JPN,High income,school,15256,0.6015338227582591,0.14728631358154168,0.1497771368641846,0.13404562139486104,0.0,0.03932878867330886,905435.2280197144,1.8009999990463257,12.050000190734863
